horizon_step,mae,rmse
1,344215.90625,400543.65625
2,330763.71875,387357.4375
3,277986.96875,323548.65625
4,308055.59375,360449.15625
5,299559.5625,351053.96875
6,302636.15625,359390.59375
7,277703.15625,333556.0
8,289678.40625,345318.34375
9,340154.3125,410861.1875
10,355906.90625,426284.0625
11,346181.15625,415718.78125
12,292493.46875,351807.5
13,278315.5,328761.0
14,270301.15625,326645.09375
15,289607.9375,349201.375
16,295548.75,352274.71875
17,290320.5625,351034.4375
18,251612.03125,311634.21875
19,253041.921875,315205.875
20,293680.3125,349220.875
21,331759.40625,394655.90625
22,367205.84375,437114.3125
23,343274.5,408192.65625
24,323912.71875,383203.8125
