horizon_step,mae,rmse
1,453285.5,525274.625
2,457223.40625,530897.8125
3,445979.90625,516095.59375
4,453615.21875,526427.6875
5,442026.90625,511001.0
6,455529.34375,529139.9375
7,451223.96875,523797.9375
8,447129.125,519023.0
9,448299.0625,520745.25
10,450281.5625,523636.65625
11,450842.28125,524678.625
12,446261.5,518510.5625
13,451671.96875,525817.375
14,452959.03125,527544.6875
15,439457.59375,509628.875
16,449646.125,523296.8125
17,459419.90625,536413.4375
18,448716.59375,522449.71875
19,448800.0,522099.34375
20,460126.53125,536787.0625
21,446810.0,519086.34375
22,449203.875,522158.90625
23,445091.3125,516540.4375
24,450623.5,523955.84375
